country,year,gender,sector,education_level,avg_monthly_wage,hours_worked,age_group,data_source,wage_gap_pct,notes,reliability
North Macedonia,2009,Female,All,All,38500,160,All,State Statistical Office,3.53,Historical baseline - smallest gap recorded,OFFICIAL
North Macedonia,2009,Male,All,All,39900,160,All,State Statistical Office,3.53,Historical baseline,OFFICIAL
North Macedonia,2011,Female,All,University,42000,160,25-34,ILO Study,18.5,Early 2010s university educated,OFFICIAL
North Macedonia,2011,Male,All,University,51500,160,25-34,ILO Study,18.5,Early 2010s university educated,OFFICIAL
North Macedonia,2014,Female,All,All,40000,160,All,ILO Study,19.0,Mid-decade data,OFFICIAL
North Macedonia,2014,Male,All,All,49400,160,All,ILO Study,19.0,Mid-decade data,OFFICIAL
North Macedonia,2015,Female,Private,University,40500,165,25-34,Research estimate,16.0,Pre-2020 baseline,RESEARCH
North Macedonia,2015,Male,Private,University,48200,165,25-34,Research estimate,16.0,Pre-2020 baseline,RESEARCH
North Macedonia,2016,Female,Public,University,43000,160,25-34,State Statistical Office,15.5,Public sector trend,OFFICIAL
North Macedonia,2016,Male,Public,University,50900,160,25-34,State Statistical Office,15.5,Public sector trend,OFFICIAL
North Macedonia,2017,Female,All,University,43500,162,25-34,Research estimate,16.2,Mid-decade university,RESEARCH
North Macedonia,2017,Male,All,University,51900,162,25-34,Research estimate,16.2,Mid-decade university,RESEARCH
North Macedonia,2018,Female,All,All,44000,160,All,UNECE/State Statistical Office,16.0,Official UNECE data,OFFICIAL
North Macedonia,2018,Male,All,All,52400,160,All,UNECE/State Statistical Office,16.0,Official UNECE data,OFFICIAL
North Macedonia,2019,Female,Private,University,44500,165,25-34,Research estimate,17.0,Pre-COVID,RESEARCH
North Macedonia,2019,Male,Private,University,53700,165,25-34,Research estimate,17.0,Pre-COVID,RESEARCH
North Macedonia,2020,Female,Public,University,45000,160,25-34,Sample data,13.5,COVID year - public sector,ESTIMATE
North Macedonia,2020,Male,Public,University,52000,160,25-34,Sample data,13.5,COVID year - public sector,ESTIMATE
North Macedonia,2020,Female,Private,University,42000,165,25-34,Sample data,27.6,COVID year - private sector,ESTIMATE
North Macedonia,2020,Male,Private,University,58000,165,25-34,Sample data,27.6,COVID year - private sector,ESTIMATE
North Macedonia,2020,Female,All,All,43200,162,All,Eurostat estimate,17.8,Annual average,OFFICIAL
North Macedonia,2020,Male,All,All,52600,162,All,Eurostat estimate,17.8,Annual average,OFFICIAL
North Macedonia,2021,Female,Public,University,46500,160,25-34,Sample data,13.1,Post-COVID recovery,ESTIMATE
North Macedonia,2021,Male,Public,University,53500,160,25-34,Sample data,13.1,Post-COVID recovery,ESTIMATE
North Macedonia,2021,Female,Private,High School,28000,170,35-44,Sample data,20.0,Lower education private,ESTIMATE
North Macedonia,2021,Male,Private,High School,35000,170,35-44,Sample data,20.0,Lower education private,ESTIMATE
North Macedonia,2021,Female,Public,High School,30000,160,35-44,Sample data,16.7,Lower education public,ESTIMATE
North Macedonia,2021,Male,Public,High School,36000,160,35-44,Sample data,16.7,Lower education public,ESTIMATE
North Macedonia,2022,Female,Private,University,44000,165,25-34,Sample data,26.7,Private sector university,ESTIMATE
North Macedonia,2022,Male,Private,University,60000,165,25-34,Sample data,26.7,Private sector university,ESTIMATE
North Macedonia,2022,Female,Public,University,48000,160,45-54,Sample data,12.7,Older workers public,ESTIMATE
North Macedonia,2022,Male,Public,University,55000,160,45-54,Sample data,12.7,Older workers public,ESTIMATE
North Macedonia,2022,Female,Private,High School,29500,168,25-34,Sample data,20.3,Young workers vocational,ESTIMATE
North Macedonia,2022,Male,Private,High School,37000,168,25-34,Sample data,20.3,Young workers vocational,ESTIMATE
North Macedonia,2022,Female,All,All,45800,163,All,UN Women estimate,17.9,Adjusted gap estimate,RESEARCH
North Macedonia,2022,Male,All,All,55800,163,All,UN Women estimate,17.9,Adjusted gap estimate,RESEARCH
North Macedonia,2023,Female,Public,University,49500,160,25-34,Sample data,13.2,Recent public sector,ESTIMATE
North Macedonia,2023,Male,Public,University,57000,160,25-34,Sample data,13.2,Recent public sector,ESTIMATE
North Macedonia,2023,Female,Private,University,45500,162,35-44,Sample data,21.4,Recent private sector,ESTIMATE
North Macedonia,2023,Male,Private,University,57900,162,35-44,Sample data,21.4,Recent private sector,ESTIMATE
North Macedonia,2023,Female,Public,High School,31000,160,35-44,Sample data,18.4,Recent vocational public,ESTIMATE
North Macedonia,2023,Male,Public,High School,38000,160,35-44,Sample data,18.4,Recent vocational public,ESTIMATE
North Macedonia,2023,Female,Private,High School,30000,170,45-54,Sample data,22.1,Older workers vocational,ESTIMATE
North Macedonia,2023,Male,Private,High School,38500,170,45-54,Sample data,22.1,Older workers vocational,ESTIMATE
