country,Avg Gap %,Std Dev,Data Quality,Region,Year From,Year To
North Macedonia,17.82,5.19,ESTIMATE,Balkans,2009,2023
Hungary,17.43,0.29,OFFICIAL,EU,2021,2023
Montenegro,16.94,1.41,RESEARCH,Balkans,2016,2023
Bulgaria,12.8,0.59,OFFICIAL,EU,2021,2023
Serbia,12.41,5.59,OFFICIAL,Balkans,2009,2024
Sweden,11.3,0.15,OFFICIAL,EU,2021,2023
Greece,11.13,1.96,OFFICIAL,EU,2021,2023
Croatia,10.03,2.04,OFFICIAL,EU,2021,2023
Poland,6.77,1.76,OFFICIAL,EU,2021,2023
Slovenia,4.1,1.05,OFFICIAL,EU,2021,2023
Romania,3.67,0.1,OFFICIAL,EU,2021,2023
Italy,2.97,0.96,OFFICIAL,EU,2021,2023
